VT,TenClb,Tr,T,H,B,BT,BB,HS,BTSK,TV,TD,Diem
1,Thep Xanh Nam Dinh,21,13,3,5,49,34,15,26,34,2,42
2,SHB Da Nang,21,12,1,7,33,44,-11,12,23,2,37
3,Ha Noi,21,10,3,8,32,27,5,15,32,2,33
4,Becamex Binh Duong,21,10,3,8,27,24,3,10,30,0,33
5,Hai Phong,21,8,8,5,36,28,8,18,32,1,32
6,Cong An Ha Noi,21,9,4,8,32,27,5,12,54,4,31
7,The Cong - Viettel,21,8,6,7,21,24,-3,10,47,2,30
8,TP Ho Chi Minh,21,8,5,8,25,24,1,7,44,2,29
9,Dong A Thanh Hoa,21,8,5,8,31,32,-1,11,53,5,29
10,Quang Nam,21,6,8,7,24,27,-3,12,37,2,26
11,Song Lam Nghe An,21,6,7,8,21,25,-4,9,38,2,25
12,LPBank Hoang Anh Gia Lai,21,6,7,8,18,27,-9,7,42,1,25
13,Hong Linh Ha Tinh,21,6,6,9,22,29,-7,9,45,2,24
14,Khanh Hoa,21,2,4,15,15,35,-20,8,33,0,10
